Folio,Grado,Sexo,Edad,Autoconsciencia1,Autoconsciencia2,Autoconsciencia3,Eficacia1,Eficacia2,Eficacia3,Persistencia1,Persistencia2,Persistencia3,ApoyoEscuela1,ApoyoEscuela2,ApoyoEscuela3,CoherenciaFam1,CoherenciaFam2,CoherenciaFam3,Compañerismo1,Compañerismo2,Compañerismo3,RegulaciónEmo1,RegulaciónEmo2,RegulaciónEmo3,Empatía1,Empatía2,Empatía3,ControlConducta1,ControlConducta2,ControlConducta3,Optimismo1,Optimismo2,Optimismo3,Entusiasmo1,Entusiasmo2,Entusiasmo3,Gratitud1,Gratitud2,Gratitud3,Gratitud4
1404,3,2,15,2,4,4,4,3,3,4,4,3,4,4,4,4,4,3,4,4,3,4,3,3,4,4,4,3,3,1,4,4,4,5,4,4,5,4,5,5
1405,3,2,16,4,3,4,4,3,3,2,3,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,2,4,4,3,4,4,4,4,4,5,5,4,5,5
1406,3,2,15,3,3,3,4,2,1,2,2,3,3,3,4,3,2,3,4,4,4,2,1,2,2,4,3,4,1,1,4,4,4,4,5,4,5,4,5,4
1407,3,1,16,3,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
1408,3,2,15,4,4,3,4,2,4,3,3,4,4,3,2,3,3,2,4,4,4,4,4,2,4,4,1,4,3,3,4,4,4,3,2,3,3,3,2,3
1409,3,1,15,3,3,3,4,3,3,2,3,3,3,4,3,4,4,4,3,3,4,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4
1410,3,1,15,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,1,3,4,4,3,4,4,5,4,4,5,4
1411,1,1,14,3,4,3,4,3,4,2,2,2,4,4,3,4,4,3,2,1,2,3,2,3,2,3,3,3,2,3,4,4,4,3,3,4,3,4,4,4
1412,1,2,13,3,4,4,4,3,3,1,2,2,4,3,3,3,4,4,4,4,4,3,4,3,3,2,4,3,3,2,4,4,4,3,3,3,3,4,4,2
1413,1,1,14,4,3,3,4,3,4,3,2,2,3,3,2,4,4,4,3,1,3,4,4,4,3,3,3,4,3,3,4,4,4,4,4,5,3,5,5,5
