"","Grado","Sexo","Edad","Autoconsciencia","Eficacia","Persistencia","ApoyoEscuela","CoherenciaFam","Compañerismo","RegulaciónEmo","Empatía","ControlConducta","Optimismo","Entusiasmo","Gratitud"
"1026",3,2,15,3.66666666666667,3.66666666666667,3.33333333333333,4,4,4,4,4,3.33333333333333,4,4.33333333333333,4.33333333333333
"1027",3,2,15,2.66666666666667,3.33333333333333,2,3.66666666666667,3.66666666666667,1.66666666666667,3.66666666666667,3,2.33333333333333,3.66666666666667,3,3.66666666666667
"1028",3,1,15,3,3.33333333333333,3,4,3.33333333333333,3.66666666666667,4,3.66666666666667,3,4,4.33333333333333,4
"1029",3,1,15,2,3,1.33333333333333,4,3.66666666666667,3.33333333333333,3.33333333333333,3,1.66666666666667,1.66666666666667,3,2.33333333333333
"1030",3,1,16,3.33333333333333,3.66666666666667,2.66666666666667,2.66666666666667,3,3,3.33333333333333,3.66666666666667,2.33333333333333,3.33333333333333,4.33333333333333,4
"1031",3,1,15,3.33333333333333,3.66666666666667,2.33333333333333,4,3.33333333333333,3.66666666666667,3,3.33333333333333,3,4,5,4.66666666666667
"1032",3,2,16,3.33333333333333,3.33333333333333,2.66666666666667,3.33333333333333,2.33333333333333,4,4,4,4,4,3.33333333333333,3.33333333333333
"1033",3,1,15,3.66666666666667,3.66666666666667,3.66666666666667,4,4,3.66666666666667,4,3.66666666666667,4,4,3.66666666666667,4.66666666666667
"1034",3,2,16,3.33333333333333,3.66666666666667,3,4,3.66666666666667,4,3,3,3.66666666666667,4,4,4
"1035",3,2,16,4,3.66666666666667,3,4,3.66666666666667,4,4,4,3.33333333333333,4,4.33333333333333,5
"1036",3,1,16,3.66666666666667,4,4,4,4,4,4,3.66666666666667,4,4,4,3.66666666666667
"1037",3,2,15,3.66666666666667,3.66666666666667,3.33333333333333,4,4,4,3,4,3.33333333333333,4,4,4
"1038",3,2,16,3.33333333333333,4,2.33333333333333,4,3,4,3.33333333333333,3.33333333333333,3.33333333333333,4,4,3.66666666666667
"1039",3,1,15,2.66666666666667,3,2,2.66666666666667,3.66666666666667,3,3.33333333333333,2.33333333333333,3.33333333333333,3.33333333333333,2.66666666666667,2.66666666666667
"1040",3,1,16,3,3,2.33333333333333,2.33333333333333,3.66666666666667,2.66666666666667,3,2.66666666666667,3,3,2.33333333333333,3.66666666666667
"1041",3,1,15,3.66666666666667,3.33333333333333,2.66666666666667,2.33333333333333,4,2.66666666666667,3,3.33333333333333,2.33333333333333,3.33333333333333,2.33333333333333,3.33333333333333
"1042",3,1,15,3.66666666666667,3.33333333333333,3.33333333333333,4,4,4,3.66666666666667,3.33333333333333,3.66666666666667,3.66666666666667,5,4.33333333333333
"1043",3,1,16,3.33333333333333,2.66666666666667,3,3,3.66666666666667,4,3.66666666666667,3.66666666666667,3.33333333333333,4,4.66666666666667,4.33333333333333
